person_id,event_id,event_name,date
10000,241,"Steinbach's Guideline for Systems Programming
",20170306
10000,1137,"The Universe is laughing behind your back
",20171130
10007,6447,"Green light in A.M. for new projects.  Red light in P.M. for traffic
",20170925
10007,4273,"Modern man is the missing link between apes and human beings.
",20171017
10010,3581,"upon to act in accordance with the dictates of reason.
",20180319
10010,7711,"        when someone inadvertently opens the darkroom door and all of
",20180425
10010,5201,"Tomorrow will be canceled due to lack of interest.
",20180103
10016,9469,"Horse sense is the thing a horse has which keeps it from betting on
",20180415
10016,8306,"Real Programmers don't eat quiche.  In fact, real programmers don't know how to
",20171205
10016,2092,"Science is what happens when preconception meets verification.
",20171205
10025,2958,"                -- Adlai Stevenson
",20170304
10025,6436,"Nature and nature's laws lay hid in night,
",20171125
10025,176,"Democracy is a form of government in which it is permitted to wonder
",20170801
10027,6129,"Green light in A.M. for new projects.  Red light in P.M. for traffic
",20180112
10034,3755,"road to the drug store, but that's just peanuts to space.
",20170813
10034,1852,"        The attention span of a computer is only as long as its
",20170310
10039,8491,"        They usually have virgins,
",20180325
10095,1659,"Be wary of strong drink.  It can make you shoot at tax collectors and
",20170607
10122,8784,"
",20170620
10122,8798,"                -- Groucho Marx
",20171028
10122,8657,"asked the father of his little son.
",20170705
10126,9306,"        Never test for an error condition you don't know how to
",20180408
10126,7854,"Excellent day for drinking heavily.  Spike office water cooler.
",20171103
10126,587,"improve.
",20180327
10127,4892,"to reform.
",20170914
10127,6505,"It did not last; the devil howling ""Ho!
",20171005
10141,9612,"                -- Dr. Who
",20170324
10141,295,"them keeps paying for it.
",20170214
10145,8777,"described with pictures.
",20180120
10145,18,"Hindsight is an exact science.
",20170511
10145,9771,"                -- Woody Allen.
",20171111
10152,5313,"A Law of Computer Programming:
",20180228
10155,9122,"happens.
",20180413
10158,2338,"There's no future in time travel
",20170405
10158,7219,"One can't proceed from the informal to the formal by formal means.
",20180427
10158,7478,"                -- Albert Einstein
",20170401
10168,8034,"                -- Alan Perlis
",20180425
10168,9335,"How many losses at Project MAC?
",20170711
10168,143,"Remember, even if you win the rat race -- you're still a rat.
",20170108
10187,4239,"Gas smells awful;
",20170522
10187,4699,"Limericks are art forms complex,
",20170629
10187,6072,"Christ: A man who was born at least 5,000 years ahead of his time.
",20170520
10193,70,"Whenever the literary German dives into a sentence, that is the last
",20170107
10195,7338,"and then pulled an all-nighter.
",20170210
10195,797,"                -- Hawkwind
",20171020
10195,4137,"Travel important today;  Internal Revenue men arrive tomorrow.
",20170429
10205,4930,"fortune: Segmentation violation -- Core dumped
",20171025
10206,3376,"
",20171008
10206,3384,"Losing your drivers' license is just God's way of saying ""BOOGA, BOOGA!""
",20171101
10206,1659,"Screw up your courage!  You've screwed up everything else.
",20180212
10218,6084,"and last month in advance.
",20180403
10219,4682,"Justice: A decision in your favor.
",20170705
10219,9828,"The IQ of the group is the lowest IQ of a member of the group divided
",20170502
10219,4491,"                -- Thomas Jefferson
",20171016
10224,4675,"In case of atomic attack, the federal ruling against prayer in schools
",20180317
10233,7297,"Our OS who art in CPU, UNIX be thy name.
",20180411
10233,2714,"Alexander Graham Bell is alive and well in New York, and still waiting
",20171013
10236,9564,"        It's made by our favorite monopoly!
",20180321
10236,5396,"""Who cares if it doesn't do anything?  It was made with our new
",20180419
10236,1468,"Screw up your courage!  You've screwed up everything else.
",20170813
10239,3357,"As Will Rogers would have said, ""There is no such things as a free
",20170830
10239,3322,"                -- ""The Hitchhiker's Guide to the Galaxy""
",20170116
10242,7349,"                -- John Barrymore's dying words
",20171113
10250,9828,"California is a fine place to live -- if you happen to be an orange.
",20171218
10252,6595,"The past always looks better than it was.  It's only pleasant because
",20170608
10252,8306,"Q: How many IBM cpu's does it take to do a logical right shift?
",20171004
10252,5415,"to decadence without touching civilization.
",20180116
10263,8207,"""All my friends and I are crazy.  That's the only thing that keeps us
",20180214
10263,8559,"there is nothing in it.
",20170831
10263,8316,"Is it possible that software is not like anything else, that it is
",20180117
10269,7364,"                -- Mark Twain
",20170919
10283,9306,"        other.
",20170320
10284,3652,"describe the picture.  Hardly any sets of 10K words can be adequately
",20170314
10284,1302,"Oh, let us never, never doubt
",20180430
10284,9245,"None.  The Universe spines the bulb, and the Zen master stays out of
",20170425
10287,6229,"Gandhi: I think it would be a good idea.
",20170801
10287,709,"University: Like a software house, except the software's free, and it's
",20170408
10293,2594,"                -- Kehlog Albran
",20170823
10304,5536,"The IQ of the group is the lowest IQ of a member of the group divided
",20171025
10304,3841,"                -- Lewis Carroll
",20171216
10304,4591,"        will find the programmers cannot write in English.
",20170609
10309,4448,"If you think last Tuesday was a drag, wait till you see what happens
",20170604
10319,1200,"Advertisement: The most truthful part of a newspaper
",20180417
10319,9319,"Due to a shortage of devoted followers, the production of great leaders
",20180108
10322,5829,"Whenever the literary German dives into a sentence, that is the last
",20180227
10325,6999,"The Law, in its majestic equality, forbids the rich, as well as the
",20170408
10332,1306,"eyes...""
",20180408
10332,2789,"Is it possible that software is not like anything else, that it is
",20170711
10332,3244,"                -- A. E. Housman
",20180114
10334,493,"None.  The Universe spines the bulb, and the Zen master stays out of
",20180120
10336,3053,"the light comes on.
",20171005
10336,9,"eyes...""
",20171020
10346,6275,"Don't go surfing in South Dakota for a while.
",20171105
10347,793,"Real Programmers don't write in PL/I.  PL/I is for programmers who can't decide
",20170108
10347,1926,"Fruit flies like a banana
",20180220
10357,4876,"elsewhere.""
",20180430
10377,2979,"Acid -- better living through chemistry.
",20170520
10388,8541,"And since then has never benzene.
",20170829
10388,3779,"None: ""We'll fix it in software.""
",20170124
10389,7660,"three friends.  If they're ok, you're it.
",20180213
10389,4300,"after the age of 12.
",20180316
10389,1763,"        Johnny's so long at the fair.
",20180329
10401,8620,"Think of it!  With VLSI we can pack 100 ENIACs in 1 sq. cm.!
",20170705
10401,6845,"The Third Law of Photography:
",20170708
10425,5778,"Gandhi: I think it would be a good idea.
",20170806
10425,8759,"If the odds are a million to one against something occurring, chances
",20171103
10425,1004,"himself from the sphere of exaction.
",20170926
10432,8114,"Die?  I should say not, dear fellow.  No Barrymore would allow such a
",20170528
10432,2984,"Rivers are damp;
",20171212
10432,2831,"Finagle's Creed:
",20171028
10443,2433,"                -- Finley Peter Dunne (Mr. Dooley)
",20180216
10443,1909,"        instructor will assign 200 pages on planaria.
",20170715
10443,4715,"Modern man is the missing link between apes and human beings.
",20170423
10447,649,"The only way to get rid of a temptation is to yield to it.
",20170604
10447,765,"lightly greased.""
",20180320
10447,3204,"after the age of 12.
",20170819
10452,7275,"        Western Civilization?
",20170905
10455,2092,"A university is what a college becomes when the faculty loses interest
",20170705
10455,8131,"Ambition is a poor excuse for not having sense enough to be lazy.
",20180429
10472,7888,"The world is coming to an end!  Repent and return those library books!
",20170531
10473,3755,"He sure is a fun god
",20170221
10473,4987,"Ass: The masculine of ""lass"".
",20171212
10479,6292,"                -- Mark Twain
",20180331
10488,8785,"Real Programmers don't comment their code.  If it was hard to write, it should
",20170213
10488,8778,"Christ: A man who was born at least 5,000 years ahead of his time.
",20170310
10488,6059,"But in our enthusiasm, we could not resist a radical overhaul of the
",20170921
10489,4804,"        He said, ""Yes, I know.
",20170328
10489,1604,"Kinkler's Second Law:
",20170208
10518,1783,"How many software engineers does it take to change a lightbulb?
",20170310
10518,3483,"works.
",20180104
10522,4520,"Science is what happens when preconception meets verification.
",20171126
10522,9373,"The earth is like a tiny grain of sand, only much, much heavier.
",20171031
10531,8667,"Take not a single bit!
",20171023
10531,5478,"""Stealing a rhinoceros should not be attempted lightly.""
",20170805
10538,6185,"He looked at me as if I was a side dish he hadn't ordered.
",20170131
10540,8433,"Why did the Lord give us so much quickness of movement unless it was to
",20170706
10540,3851,"        committee -- that will do them in.
",20170203
10548,5585,"                -- F. P. Jones
",20180313
10565,8363,"computer science languages.  Strong typing is for people with weak memories. 
",20170615
10565,1670,"fix it, and ...
",20171108
10600,8316,"            Smoke a friend today.
",20171001
10605,8383,"                -- Kehlog Albran
",20170514
10605,4414,"                -- Elbert Hubbard
",20170506
10615,2933,"Message will arrive in the mail.  Destroy, before the FBI sees it.
",20170212
10615,1670,"have a lucky day this year.
",20170113
10615,1763,"What this country needs is a good five cent ANYTHING!
",20171028
10628,7460,"Tomorrow will be canceled due to lack of interest.
",20170316
10654,1909,"they ought to be.  Hence the custom among the Scythians of plucking out
",20180305
10679,3244,"written and another for which it wasn't.
",20170922
10679,9325,"middle of the machine room.
",20170723
10679,6962,"FLASH!  Intelligence of mankind decreasing.  Details at ... uh, when
",20170329
10680,968,"system, in which all of its major weaknesses have been exposed,
",20171122
10683,2668,"ourselves.
",20180214
10683,1046,"99 blocks of crud!
",20170725
10683,9472,"        (Waiter exits, returns)
",20170410
10699,2071,"        While her lover lamented
",20170926
10704,1785,"Reporter (to Mahatma Gandhi): Mr Gandhi, what do you think of
",20170909
10713,9346,"Don't feed the bats tonight.
",20170113
10723,2110,"Question:
",20170618
10743,871,"make the rubble bounce""
",20170810
10743,537,"Re graphics:  A picture is worth 10K words -- but only those to
",20170223
10761,9791,"Experience is that marvelous thing that enables you recognize a
",20171222
10761,7698,"their destitution of conscience.
",20170611
10761,6386,"                -- Arthur Naiman
",20180127
10777,9310,"Real Programmers don't write in FORTRAN.  FORTRAN is for pipe stress freaks and
",20180404
10777,8316,"But only what I tell it.
",20180422
10777,5605,"Children are natural mimic who act like their parents despite every
",20170418
10797,8059,"Real Programmers don't write in PASCAL, or BLISS, or ADA, or any of those pinko
",20170812
10808,2834,"sane.""
",20170626
10808,792,"""Qvid me anxivs svm?""
",20180110
10808,9347,"Whenever you find that you are on the side of the majority, it is time
",20171007
10814,764,"In English, every word can be verbed.  Would that it were so in our
",20170717
10815,1529,"        The strip revolved,
",20170906
10816,8306,"Eggheads unite!  You have nothing to lose but your yolks.
",20171231
10833,9877,"George Orwell was an optimist.
",20171028
10833,9335,"Thou shalt reclaim it not.
",20171119
10833,7888,"Whenever the literary German dives into a sentence, that is the last
",20171220
10834,2677,"        And masculine urgin's,
",20170711
10843,2937,"Go 'way!  You're bothering me!
",20170910
10866,1604,"eyes...""
",20170218
10866,6722,"Q: How many IBM cpu's does it take to do a logical right shift?
",20180311
10890,1404,"""That must be wonderful!  I don't understand it at all.""
",20180311
10890,551,"responsibility at the other.
",20170803
10904,703,"        When told this was so,
",20170214
10904,4329,"                -- Elbert Hubbard
",20171114
