Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL
83.2.221,FALSE,FALSE,TRUE,466,The American Wing,1883,Painting,Plaque Portrait of Benjamin Franklin,,,,,,Maker,,Louis Benjamin Huber Defeuille,,,"Defeuille, Louis Benjamin Huber",,,9999,,,,1800–1883,1800,1883,Ivory,3 1/4 x 2 5/8 in. (8.3 x 6.7 cm),"Gift of William H. Huntington, 1883",Made in,,,,France,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/466,https://www.wikidata.org/wiki/Q79024550,,"Metropolitan Museum of Art, New York, NY",Benjamin Franklin|Men|Portraits,http://vocab.getty.edu/page/ulan/500331804|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300015637
83.2.220,FALSE,FALSE,TRUE,470,The American Wing,1883,Painting,Plaque Portrait of Benjamin Franklin,,,,,,,,,,,,,,,,,,1776–1883,1776,1883,Probably porcelain,3 x 2 3/8 in. (7.6 x 6 cm),"Gift of William H. Huntington, 1883",Made in,,,,France,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/470,https://www.wikidata.org/wiki/Q79024432,,"Metropolitan Museum of Art, New York, NY",Benjamin Franklin|Men|Portraits,http://vocab.getty.edu/page/ulan/500331804|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300015637
83.2.232,FALSE,FALSE,TRUE,471,The American Wing,1883,Painting,Plaque Portrait of Benjamin Franklin,,,,,,Maker,After,Jean-Baptiste Nini,"Italian, Urbino 1717–1786 Chaumont-sur-Loire",,"Nini, Jean-Baptiste",Italian,1717,1786,,,,1776–1883,1776,1883,Ivory,2 5/8 x 2 in. (6.7 x 5.1 cm),"Gift of William H. Huntington, 1883",Made in,,,,France,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/471,https://www.wikidata.org/wiki/Q79024309,,"Metropolitan Museum of Art, New York, NY",Benjamin Franklin|Men|Portraits,http://vocab.getty.edu/page/ulan/500331804|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300015637
83.2.235,FALSE,FALSE,TRUE,472,The American Wing,1883,Painting,Portrait of Benjamin Franklin,,,,,,,,,,,,,,,,,,1776–1883,1776,1883,Panel,Diam. 3 1/8 in. (7.9 cm),"Gift of William H. Huntington, 1883",Made in,,,,France,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/472,https://www.wikidata.org/wiki/Q79024193,,"Metropolitan Museum of Art, New York, NY",Benjamin Franklin|Men|Portraits,http://vocab.getty.edu/page/ulan/500331804|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300015637
83.2.238,FALSE,FALSE,TRUE,473,The American Wing,1883,Painting,Plaque Portrait of Benjamin Franklin,,,,,,,,,,,,,,,,,,1776–1883,1776,1883,Ivory,Diam. 2 3/4 in. (7 cm),"Gift of William H. Huntington, 1883",Made in,,,,France,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/473,https://www.wikidata.org/wiki/Q79024077,,"Metropolitan Museum of Art, New York, NY",Benjamin Franklin|Men|Portraits,http://vocab.getty.edu/page/ulan/500331804|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300015637
83.2.239,FALSE,FALSE,TRUE,474,The American Wing,1883,Painting,Plaque Portrait of Benjamin Franklin,,,,,,,,,,,,,,,,,,1776–1883,1776,1883,Oil on cardboard,Diam. 5 1/8 in. (13 cm),"Gift of William H. Huntington, 1883",Made in,,,,France,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/474,https://www.wikidata.org/wiki/Q79023962,,"Metropolitan Museum of Art, New York, NY",Benjamin Franklin|Men|Portraits,http://vocab.getty.edu/page/ulan/500331804|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300015637
83.2.250,FALSE,FALSE,TRUE,475,The American Wing,1883,Painting,Portrait of Benjamin Franklin,,,,,,,,,,,,,,,,,,1776–1883,1776,1883,Ivory,Diam. 4 3/8 in. (11.1 cm),"Gift of William H. Huntington, 1883",Made in,,,,France,,,,,,,Natural Substances,,http://www.metmuseum.org/art/collection/search/475,https://www.wikidata.org/wiki/Q79023833,,"Metropolitan Museum of Art, New York, NY",Books|Benjamin Franklin|Portraits,http://vocab.getty.edu/page/aat/300028051|http://vocab.getty.edu/page/ulan/500331804|http://vocab.getty.edu/page/aat/300015637
83.2.234,FALSE,FALSE,TRUE,482,The American Wing,1883,Painting,Portrait of Benjamin Franklin,,,,,,,,,,,,,,,,,,1776–1883,1776,1883,Oil on wood,5 5/8 x 3 1/2 in. (14.3 x 8.9 cm),"Gift of William H. Huntington, 1883",Made in,,,,France,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/482,https://www.wikidata.org/wiki/Q79023693,,"Metropolitan Museum of Art, New York, NY",Benjamin Franklin|Men|Portraits,http://vocab.getty.edu/page/ulan/500331804|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300015637
83.2.236,FALSE,FALSE,TRUE,483,The American Wing,1883,Painting,Portrait of Benjamin Franklin,,,,,,,,,,,,,,,,,,1776–1883,1776,1883,Panel,5 3/8 x 4 in. (13.7 x 10.2 cm),"Gift of William H. Huntington, 1883",Made in,,,,France,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/483,https://www.wikidata.org/wiki/Q79023574,,"Metropolitan Museum of Art, New York, NY",Benjamin Franklin|Men|Portraits,http://vocab.getty.edu/page/ulan/500331804|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300015637
83.2.233,FALSE,FALSE,TRUE,484,The American Wing,1883,Painting,Medallion of Benjamin Franklin,,,,,,,,,,,,,,,,,,1776–1883,1776,1883,Oil on wood,5 3/4 x 4 1/4 in. (14.6 x 10.8 cm),"Gift of William H. Huntington, 1883",Made in,,,,France,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/484,https://www.wikidata.org/wiki/Q79023461,,"Metropolitan Museum of Art, New York, NY",Benjamin Franklin|Men|Profiles,http://vocab.getty.edu/page/ulan/500331804|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300123319
83.2.222,FALSE,FALSE,TRUE,485,The American Wing,1883,Painting,Portrait of Benjamin Franklin,,,,,,Artist,Possibly after,H. Sanford,1783–1822,,"Sanford, H.",,1783,1822,,,,1776–1883,1776,1883,Panel,5 3/8 x 4 1/4 in. (13.7 x 10.8 cm),"Gift of William H. Huntington, 1883",Made in,,,,France,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/485,https://www.wikidata.org/wiki/Q79023347,,"Metropolitan Museum of Art, New York, NY",Benjamin Franklin|Men|Portraits,http://vocab.getty.edu/page/ulan/500331804|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300015637
