person_id,transcript
10007,"CHAPTER IV. The Rabbit Sends in a Little Bill
"
10016,"
"
10025,"
"
10027,"nearer to watch them, and just as she came up to them she heard one of
"
10034,"a kind of serpent, that’s all I can say.’
"
10039,"     Beau--ootiful Soo--oop!
"
10095,"
"
10122,"
"
10141,"invitation for the Duchess to play croquet.’
"
10152,"hand again, and made another snatch in the air. This time there were
"
10155,"Alice had been all the way down one side and up the other, trying every
"
10158,"
"
10187,"    And have grown most uncommonly fat;
"
10193,"
"
10195,"
"
10205,"
"
10206,"time,’ she said, ‘than waste it in asking riddles that have no answers.’
"
10218,"came upon a neat little house, on the door of which was a bright brass
"
10219,"
"
10224,"saying to herself ‘This is Bill,’ she gave one sharp kick, and waited to
"
10233,"Turn that Dormouse out of court! Suppress him! Pinch him! Off with his
"
10236,"‘Off with her head!’ the Queen shouted at the top of her voice. Nobody
"
10242,"chimneys were shaped like ears and the roof was thatched with fur. It
"
10250,"Longitude either, but thought they were nice grand words to say.)
"
10269,"to some tea and bread-and-butter, and then turned to the Dormouse, and
"
10284,"
"
10287,"about two feet high: even then she walked up towards it rather timidly,
"
10304,"    *    *    *    *    *    *
"
10309,"
"
10322,"silent.
"
10325,"   ‘Beautiful Soup! Who cares for fish,
"
10334,"
"
10377,"about something, my dear, and that makes you forget to talk. I can’t
"
10388,"the middle, nursing a baby; the cook was leaning over the fire, stirring
"
10389,"
"
10425,"‘I’m NOT a serpent!’ said Alice indignantly. ‘Let me alone!’
"
10443,"
"
10447,"
"
10455,"‘Take some more tea,’ the March Hare said to Alice, very earnestly.
"
10473,"‘All right, so far,’ said the King, and he went on muttering over
"
10488,"something like this:--
"
10489,"
"
10518,"
"
10531,"yours.”’
"
10565,"‘Then you shouldn’t talk,’ said the Hatter.
"
10600,"
"
10605,"again, sitting on a branch of a tree.
"
10680,"
"
10713,"saw the White Rabbit. She was a little nervous about it just at first,
"
10723,"by another footman in livery, with a round face, and large eyes like a
"
10743,"
"
10777,"wrote down all three dates on their slates, and then added them up, and
"
10808,"the morning, just time to begin lessons: you’d only have to whisper a
"
10833,"‘So you did, old fellow!’ said the others.
"
10890,"‘I’ve had nothing yet,’ Alice replied in an offended tone, ‘so I can’t
"
10909,"
"
10914,"As soon as the jury had a little recovered from the shock of being
"
10935,"jumping about like mad things all this time, sat down again very sadly
"
10980,"
"
11018,"
"
11059,"
"
11062,"
"
11084,"could not stand, and she went round the court and got behind him, and
"
11092,"She said the last word with such sudden violence that Alice quite
"
11120,"down in a large arm-chair at one end of the table.
"
11132,"‘Now tell me, Pat, what’s that in the window?’
"
11140,"turned out, and, by the time they had settled down again, the cook had
"
11151,"rule, ‘and vinegar that makes them sour--and camomile that makes
"
11161,"with such a puzzled expression that she could not help bursting out
"
11162,"us all about it!’
"
11177,"
"
11211,"but her voice sounded hoarse and strange, and the words did not come the
"
11231,"‘You are not attending!’ said the Mouse to Alice severely. ‘What are you
"
11263,"
"
11278,"Alice felt a little irritated at the Caterpillar’s making such VERY
"
11279,"my fur and whiskers! She’ll get me executed, as sure as ferrets are
"
11295,"the Duchess and the baby--the fire-irons came first; then followed a
"
11297,"began to get rather sleepy, and went on saying to herself, in a dreamy
"
11314,"Knave.
"
11362,"questions of eating and drinking.
"
11368,"
"
11376,"‘you shouldn’t have put it in with the bread-knife.’
"
11403,"Alice considered a little, and then said ‘The fourth.’
"
11404,"to the company generally, ‘You are all pardoned.’ ‘Come, THAT’S a good
"
11414,"
"
11424,"‘Oh, a song, please, if the Mock Turtle would be so kind,’ Alice
"
11447,"
"
11455,"
"
11470,"thought: still it had VERY long claws and a great many teeth, so she
"
11495,"The Hatter opened his eyes very wide on hearing this; but all he SAID
"
11516,"    Because he knows it teases.’
"
11522,"
"
11523,"
"
11561,"along the course, here and there. There was no ‘One, two, three, and
"
11570,"no toys to play with, and oh! ever so many lessons to learn! No, I’ve
"
11577,"‘Come on!’ cried the Gryphon, and, taking Alice by the hand, it hurried
"
11586,"advantage from the change: and Alice was a good deal worse off than
"
11615,"have got altered.’
"
11618,"‘What size do you want to be?’ it asked.
"
11639,"
"
11686,"
"
11697,"she waited patiently.
"
11723,"bore it as well as she could.
"
11759,"
"
11761,"‘Soles and eels, of course,’ the Gryphon replied rather impatiently:
"
11849,"all its feet at once, with a yelp of delight, and rushed at the stick,
"
11856,"
"
11863,"the Rabbit coming to look for her, and she trembled till she shook the
"
11874,"have got altered.’
"
11884,"
"
11900,"us all about it!’
"
11917,"
"
11990,"‘Once,’ said the Mock Turtle at last, with a deep sigh, ‘I was a real
"
11993,"other: the only difficulty was, that her flamingo was gone across to the
"
12000,"‘stupid,’ and that he had to ask his neighbour to tell him. ‘A nice
"
12007,"‘We had the best of educations--in fact, we went to school every day--’
"
12030,"
"
12034,"‘Why,’ said the Gryphon, ‘you first form into a line along the
"
12103,"    *    *    *    *    *    *
"
12107,"witness.’ And he added in an undertone to the Queen, ‘Really, my dear,
"
12121,"
"
12160,"Lobster Quadrille is!’
"
12161,"
"
12179,"yourself!’
"
12190,"There was a dead silence instantly, and Alice thought to herself, ‘I
"
12207,"
"
12279,"the door, she ran out of the house, and found quite a crowd of little
"
12319,"
"
12325,"  ‘’Tis the voice of the Lobster; I heard him declare,
"
12329,"‘It’s the Cheshire Cat: now I shall have somebody to talk to.’
"
12344,"   Game, or any other dish?
"
12347,"‘Hadn’t time,’ said the Gryphon: ‘I went to the Classics master, though.
"
12354,"
"
12372,"‘One side of WHAT? The other side of WHAT?’ thought Alice to herself.
"
12378,"
"
12412,"‘Of the mushroom,’ said the Caterpillar, just as if she had asked it
"
12423,"this bottle does. I do hope it’ll make me grow large again, for really
"
12468,"hot day made her feel very sleepy and stupid), whether the pleasure
"
12479,"‘Well! WHAT are you?’ said the Pigeon. ‘I can see you’re trying to
"
12495,"‘Not I!’ said the Lory hastily.
"
12509,"
"
12533,"house, quite forgetting that she was now about a thousand times as large
"
12534,"for the moment she quite forgot how to speak good English); ‘now I’m
"
12547,"
"
12550,"‘I don’t see,’ said the Caterpillar.
"
12573,"after folding his arms and frowning at the cook till his eyes were
"
12578,"    Has lasted the rest of my life.’
"
12582,"cushion, resting their elbows on it, and talking over its head. ‘Very
"
12665,"uncomfortably sharp chin. However, she did not like to be rude, so she
"
12677,"sea. The master was an old Turtle--we used to call him Tortoise--’
"
12711,"
"
12732," See how eagerly the lobsters and the turtles all advance!
"
12754,"obliged to write with one finger for the rest of the day; and this was
"
12778,"makes them so shiny?’
"
12781,"long as there was room for her.
"
12818,"
"
12839,"‘And be quick about it,’ added the Hatter, ‘or you’ll be asleep again
"
12855,"to be done, I wonder?’ As she said this, she came suddenly upon an open
"
12901,"nothing written on the OUTSIDE.’ He unfolded the paper as he spoke, and
"
12941,"know.’
"
12955,"‘You’ll see me there,’ said the Cat, and vanished.
"
13018,"court.
"
13050,"silence, and then another confusion of voices--‘Hold up his head--Brandy
"
13064,"This time Alice waited patiently until it chose to speak again. In
"
13080,"‘Well, then,’ the Cat went on, ‘you see, a dog growls when it’s angry,
"
13189,"court.
"
13227,"take more.’
"
13273,"
"
13296,"‘If everybody minded their own business,’ the Duchess said in a hoarse
"
